"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Washington County, UT"	"49053"	26	160245	16.2
	"Weber County, UT"	"49057"	71	247560	28.7
	"Bennington County, VT"	"50003"	11	36191	Unreliable
	"Chittenden County, VT"	"50007"	30	161531	18.6
	"Rutland County, VT"	"50021"	15	59310	Unreliable
	"Washington County, VT"	"50023"	11	58504	Unreliable
	"Windsor County, VT"	"50027"	16	55496	Unreliable
	"Arlington County, VA"	"51013"	26	230050	11.3
	"Caroline County, VA"	"51033"	10	30178	Unreliable
	"Chesterfield County, VA"	"51041"	75	339009	22.1
	"Culpeper County, VA"	"51047"	12	50083	Unreliable
	"Fairfax County, VA"	"51059"	113	1138652	9.9
	"Fauquier County, VA"	"51061"	25	69069	36.2
	"Franklin County, VA"	"51067"	15	56069	Unreliable
	"Frederick County, VA"	"51069"	23	84421	27.2
	"Gloucester County, VA"	"51073"	12	37214	Unreliable
	"Hanover County, VA"	"51085"	11	104392	Unreliable
	"Henrico County, VA"	"51087"	65	326501	19.9
	"Loudoun County, VA"	"51107"	42	385945	10.9
	"Montgomery County, VA"	"51121"	12	98602	Unreliable
	"Orange County, VA"	"51137"	17	35533	Unreliable
	"Prince William County, VA"	"51153"	57	455210	12.5
	"Roanoke County, VA"	"51161"	19	94031	Unreliable
	"Spotsylvania County, VA"	"51177"	30	132010	22.7
	"Stafford County, VA"	"51179"	28	144361	19.4
	"Wise County, VA"	"51195"	16	39228	Unreliable
	"Wythe County, VA"	"51197"	10	29016	Unreliable
	"Alexandria city, VA"	"51510"	15	155810	Unreliable
	"Chesapeake city, VA"	"51550"	48	237940	20.2
	"Hampton city, VA"	"51650"	35	135410	25.8
	"Hopewell city, VA"	"51670"	10	22735	Unreliable
	"Newport News city, VA"	"51700"	44	181825	24.2
	"Norfolk city, VA"	"51710"	74	245115	30.2
	"Petersburg city, VA"	"51730"	15	31882	Unreliable
	"Portsmouth city, VA"	"51740"	30	95252	31.5
	"Richmond city, VA"	"51760"	71	223170	31.8
	"Roanoke city, VA"	"51770"	15	99660	Unreliable
