"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"45-54 years"	"45-54"	20	187234	10.7
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"55-64 years"	"55-64"	Suppressed	160434	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	89818	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	55373	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	25146	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"			83	1100392	7.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	10113	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	43995	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	127009	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"15-24 years"	"15-24"	Suppressed	140943	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"25-34 years"	"25-34"	18	113258	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"35-44 years"	"35-44"	20	139749	14.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"45-54 years"	"45-54"	28	186462	15.0
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"55-64 years"	"55-64"	12	165065	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	92192	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	55373	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	25604	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			85	1099763	7.7
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	10000	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	42721	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	124008	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"15-24 years"	"15-24"	11	139636	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"25-34 years"	"25-34"	17	115318	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"35-44 years"	"35-44"	20	134091	14.9
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"45-54 years"	"45-54"	31	182399	17.0
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"55-64 years"	"55-64"	18	171665	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	96111	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	55513	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	26268	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			100	1097730	9.1
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	9777	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	41772	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	121774	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"15-24 years"	"15-24"	10	138717	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"25-34 years"	"25-34"	25	116343	21.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"35-44 years"	"35-44"	20	129374	15.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"45-54 years"	"45-54"	20	177830	11.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"55-64 years"	"55-64"	10	173156	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	103865	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	55343	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	26695	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			89	1094646	8.1
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	9903	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	41111	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	120023	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"15-24 years"	"15-24"	20	137598	14.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"25-34 years"	"25-34"	28	117869	23.8
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"35-44 years"	"35-44"	38	125918	30.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"45-54 years"	"45-54"	32	172449	18.6
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"55-64 years"	"55-64"	23	174766	13.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	110542	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	55452	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	26975	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			145	1092606	13.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	9628	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	40580	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	117591	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"15-24 years"	"15-24"	15	137398	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"25-34 years"	"25-34"	56	118126	47.4
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"35-44 years"	"35-44"	50	122631	40.8
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"45-54 years"	"45-54"	39	167164	23.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"55-64 years"	"55-64"	23	176309	13.0
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"65-74 years"	"65-74"	Suppressed	116199	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	56113	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	27116	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			188	1088855	17.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	9480	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	40008	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	115066	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"15-24 years"	"15-24"	20	136565	14.6
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"25-34 years"	"25-34"	75	118584	63.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"35-44 years"	"35-44"	53	119908	44.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"45-54 years"	"45-54"	48	162593	29.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"55-64 years"	"55-64"	25	177671	14.1
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"65-74 years"	"65-74"	Suppressed	120825	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	56828	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	27462	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			230	1084990	21.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	9616	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	39917	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	113673	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"15-24 years"	"15-24"	17	134666	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"25-34 years"	"25-34"	66	120364	54.8
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"35-44 years"	"35-44"	56	117846	47.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"45-54 years"	"45-54"	58	157948	36.7
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"55-64 years"	"55-64"	24	178821	13.4
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"65-74 years"	"65-74"	Suppressed	126117	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	58098	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	27364	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			227	1084430	20.9
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	9468	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	39804	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	112533	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"15-24 years"	"15-24"	21	133053	15.8
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"25-34 years"	"25-34"	88	121086	72.7
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"35-44 years"	"35-44"	60	117781	50.9
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"45-54 years"	"45-54"	56	152964	36.6
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"55-64 years"	"55-64"	33	178733	18.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"65-74 years"	"65-74"	12	131562	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	60235	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	28139	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			272	1085358	25.1
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	9170	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	39779	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	111727	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"15-24 years"	"15-24"	26	131285	19.8
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"25-34 years"	"25-34"	94	123224	76.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"35-44 years"	"35-44"	85	118994	71.4
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"45-54 years"	"45-54"	81	147349	55.0
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"55-64 years"	"55-64"	32	178658	17.9
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"65-74 years"	"65-74"	11	135461	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	63812	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	28194	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			330	1087653	30.3
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"					1957	13119104	14.9
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	23777	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	90254	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	255020	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"15-24 years"	"15-24"	19	306261	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"25-34 years"	"25-34"	18	226698	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"35-44 years"	"35-44"	16	285361	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"45-54 years"	"45-54"	23	325416	7.1
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"55-64 years"	"55-64"	Suppressed	260855	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	166401	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	122291	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	48399	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2007"	"2007"			82	2110733	3.9
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	23629	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	91241	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	251345	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"15-24 years"	"15-24"	13	303677	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"25-34 years"	"25-34"	21	227688	9.2
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"35-44 years"	"35-44"	18	277463	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"45-54 years"	"45-54"	21	325660	6.4
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"55-64 years"	"55-64"	10	267321	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	171273	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	120570	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	49253	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2008"	"2008"			89	2109120	4.2
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	22797	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	92764	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	248211	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"15-24 years"	"15-24"	Suppressed	300444	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"25-34 years"	"25-34"	17	229713	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"35-44 years"	"35-44"	18	268106	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"45-54 years"	"45-54"	31	325658	9.5
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"55-64 years"	"55-64"	10	275869	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	175563	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	118539	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	50122	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2009"	"2009"			86	2107786	4.1
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	21976	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	92751	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	246156	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"15-24 years"	"15-24"	14	297723	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"25-34 years"	"25-34"	21	231184	9.1
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"35-44 years"	"35-44"	17	261880	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"45-54 years"	"45-54"	23	324442	7.1
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"55-64 years"	"55-64"	11	283120	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	177756	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	117588	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	51411	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			88	2105987	4.2
